is_canceled,deposit_type,lead_time,country,price,total_of_special_requests,arrival_date_day_of_month,arrival_date_week_number,market_segment,previous_cancellations
0,0,24,133,298.0,1,16,38,3,0
0,0,244,133,98.4,2,29,40,6,0
0,0,50,57,542.08,1,18,7,6,0
0,0,211,152,264.6,1,4,9,6,0
0,0,112,57,120.0,0,15,11,2,0
0,0,0,133,30.0,0,28,49,2,0
0,0,83,28,218.84,1,4,9,6,0
0,0,361,57,404.6,0,2,36,5,0
0,0,80,133,216.0,0,9,41,5,0
0,0,9,54,334.4,0,18,7,6,0
0,0,31,54,270.0,1,26,44,5,0
0,0,126,24,374.0,2,2,45,3,0
0,0,24,28,104.0,1,27,53,6,0
0,0,0,121,106.0,0,9,46,3,0
0,0,190,54,300.0,0,29,13,5,0
0,0,4,78,170.0,0,27,13,4,0
0,0,29,79,191.9,1,17,17,6,0
0,0,5,167,288.0,0,4,41,6,0
0,0,1,167,69.0,0,20,39,3,0
0,0,163,98,526.0,1,19,33,6,0
0,0,111,57,250.0,1,24,34,6,0
0,0,40,74,240.24,0,19,17,5,0
0,0,213,74,674.1,1,3,32,5,0
0,0,102,42,747.0,0,27,21,6,0
0,0,9,24,180.0,0,30,49,4,0
0,0,18,54,438.0,1,10,20,6,0
0,0,84,122,267.75,2,16,42,6,0
0,0,203,57,173.79,2,2,9,6,0
0,0,15,133,264.0,2,26,4,6,0
0,0,172,42,403.75,0,23,44,5,0
0,0,0,133,6.0,0,7,41,2,1
0,0,130,28,441.0,0,1,22,6,0
0,0,1,42,334.0,0,10,33,6,0
0,0,47,152,413.12,0,1,14,6,0
0,0,226,57,308.2800000000001,0,25,44,5,0
0,0,6,79,81.0,0,1,6,6,0
0,0,178,44,1071.0,2,24,25,6,0
0,0,91,42,306.0,0,6,15,3,0
0,0,0,52,115.0,0,18,25,3,0
0,0,130,57,492.80000000000007,0,28,22,5,0
0,0,207,54,148.0,0,26,39,5,0
0,0,46,133,1043.0,1,22,34,5,0
0,0,10,133,280.0,1,22,17,6,0
0,0,4,49,140.0,0,10,2,4,0
0,0,18,79,158.0,0,25,13,5,0
0,0,74,42,195.0,0,16,16,3,0
0,0,48,133,252.0,1,4,37,6,0
0,0,57,133,588.0,0,6,37,3,0
0,0,15,49,60.0,1,22,13,5,0
0,0,0,133,112.88,0,24,35,3,0
0,0,48,49,354.0,0,20,30,5,0
0,0,2,98,208.0,1,10,16,6,0
0,0,0,167,600.0,0,4,23,6,0
0,0,59,79,646.0,2,13,51,6,0
0,0,52,121,299.2,1,23,48,6,0
0,0,27,49,110.0,1,17,20,2,0
0,0,111,54,366.8,0,19,8,5,0
0,0,32,11,543.6,1,3,28,6,0
0,1,171,42,109.0,0,4,15,4,0
0,0,6,57,158.0,1,22,48,2,0
0,0,114,49,312.0,0,15,7,4,0
0,0,164,33,665.1999999999998,1,4,27,6,0
0,0,1,49,61.2,0,22,8,3,0
0,0,36,74,727.02,0,6,41,6,0
0,0,3,133,248.0,0,5,36,4,0
0,0,26,54,258.56,0,7,7,6,0
0,0,32,33,392.01,1,4,23,6,0
0,0,136,57,367.92,0,21,21,5,0
0,0,33,33,116.0,1,10,42,6,0
0,0,232,11,445.5,1,24,30,6,0
0,0,117,49,246.6,1,6,19,6,0
0,0,28,133,525.0,1,12,38,6,0
0,0,2,133,65.0,0,2,10,2,0
0,0,35,133,139.0,1,6,6,6,0
0,0,58,133,162.0,0,27,5,5,0
0,0,6,133,88.0,1,18,52,6,0
0,0,223,57,312.0,0,24,22,4,0
0,0,0,133,40.0,0,14,3,6,0
0,0,4,49,149.0,0,10,23,3,0
0,0,109,33,500.0,1,27,30,6,0
0,0,30,42,218.84,1,5,1,6,0
0,0,4,133,65.0,0,12,42,2,0
0,0,10,14,152.0,1,17,38,6,0
0,0,112,30,50.0,0,13,11,4,0
0,0,0,152,52.36,1,21,43,6,0
0,0,180,167,360.0,1,10,42,5,0
0,0,147,98,511.0,0,28,14,5,0
0,0,0,133,90.0,0,3,6,3,0
0,1,3,133,106.0,0,13,20,2,0
0,0,34,49,75.0,0,18,3,4,0
0,0,40,133,137.2,2,3,49,3,0
0,0,154,133,357.0,0,3,19,3,0
0,0,1,133,130.0,0,18,34,2,0
0,0,162,14,696.5999999999998,1,4,27,6,0
0,0,43,121,288.9,1,18,8,6,0
0,0,41,57,200.64,0,1,49,6,0
0,0,6,49,26.0,0,17,12,4,0
0,0,2,54,76.0,1,4,2,6,0
0,0,56,79,529.2,0,21,30,6,0
0,0,3,54,116.0,0,17,34,3,0
0,0,18,133,86.0,1,23,4,6,0
0,0,57,54,489.58,1,2,45,6,0
0,0,71,54,205.41,1,3,45,6,0
0,0,9,28,160.0,0,1,5,3,0
0,0,167,133,478.80000000000007,1,22,26,5,0
0,0,1,167,89.0,0,6,2,6,0
0,0,11,133,110.0,2,19,8,6,0
0,0,107,133,297.0,0,27,17,6,0
0,0,0,133,50.0,1,17,12,2,0
0,0,4,74,335.0,1,9,15,6,0
0,0,301,42,180.0,0,30,31,5,0
0,0,53,133,124.0,0,24,35,4,0
0,0,8,57,277.20000000000005,0,20,43,6,0
0,0,286,11,396.0,1,11,20,4,0
0,0,204,14,560.6999999999998,0,29,30,5,0
0,0,113,54,245.0,0,29,14,5,0
0,0,66,57,381.84,2,5,37,6,0
0,0,161,42,493.84,1,21,26,6,0
0,0,15,14,117.0,1,8,50,6,0
0,0,189,74,289.0,0,8,33,5,0
0,0,2,133,36.0,1,16,47,6,0
0,0,0,133,129.0,2,18,25,6,0
0,0,209,42,318.6,2,12,19,6,0
0,0,0,167,456.0,2,9,37,6,0
0,0,9,42,772.0,2,18,12,6,0
0,0,0,49,35.0,0,8,46,3,0
0,0,0,133,73.0,0,27,4,3,0
0,0,67,54,240.3,0,29,22,5,0
0,0,3,50,219.46,1,4,45,6,0
0,0,4,138,240.24,1,14,12,6,0
0,0,87,42,242.25,1,23,44,5,0
0,0,6,49,354.0,0,18,11,6,0
0,0,2,54,280.0,1,18,21,6,0
0,0,42,133,170.1,0,24,48,5,0
0,0,31,79,208.5,1,6,6,6,0
0,0,0,133,73.07,0,24,35,6,0
0,0,41,133,168.0,1,12,33,4,0
0,0,80,57,103.6,1,2,49,4,0
0,0,66,42,144.5,0,29,36,5,0
0,0,122,133,110.0,1,15,3,4,0
0,0,159,11,324.0,1,6,18,6,0
0,0,75,42,392.4,0,29,13,6,0
0,0,183,42,170.0,0,16,16,4,0
0,0,3,24,88.0,0,15,3,6,0
0,0,150,75,340.0,0,23,12,5,0
0,0,8,133,102.0,0,23,17,3,0
0,0,213,42,174.0,0,16,21,4,0
0,0,0,138,546.99,0,30,31,6,0
0,0,85,42,400.0,3,6,18,6,0
0,0,343,14,368.0,0,21,39,2,0
0,0,104,133,562.5,0,11,24,5,0
0,0,15,133,21.5,0,5,45,5,0
0,0,15,24,178.0,0,6,23,5,0
0,0,78,54,554.2,2,26,53,6,0
0,0,11,133,38.0,1,28,9,6,0
0,0,29,49,300.0,1,10,46,2,0
0,0,14,79,340.0,1,9,15,6,0
0,0,0,57,48.0,0,25,44,6,0
0,0,3,49,64.0,1,13,7,5,0
0,0,203,44,749.6999999999998,1,10,28,6,0
0,0,0,133,90.0,0,3,40,6,0
0,0,28,121,130.0,0,14,11,4,0
0,0,4,131,469.48,1,6,46,6,0
0,0,28,54,625.0,2,11,16,6,0
0,0,8,54,225.0,0,24,4,5,0
0,0,17,54,510.0,2,26,39,4,0
0,0,58,49,348.2999999999999,1,10,24,6,0
0,0,73,54,321.2999999999999,0,11,33,3,0
0,0,277,133,623.98,1,5,37,5,0
0,0,182,57,235.8,2,30,40,6,0
0,0,8,42,667.0,2,17,12,6,0
0,0,5,74,222.0,1,31,13,6,0
0,0,12,79,267.0,1,15,3,6,0
0,0,32,160,262.0,0,12,38,6,0
0,0,37,42,327.6,2,10,11,6,0
0,0,0,78,266.0,0,20,39,6,0
0,0,24,57,240.0,0,17,7,5,0
0,0,41,57,474.0,0,2,31,5,0
0,0,254,33,144.0,0,12,37,4,0
0,0,179,54,417.6,1,28,44,6,0
0,0,94,11,252.0,0,17,16,6,0
0,0,179,70,256.5,2,19,43,6,0
0,0,174,14,461.7000000000001,1,5,27,6,0
0,0,77,54,299.2,1,27,13,6,0
0,0,1,57,195.0,0,26,40,6,0
0,0,226,74,120.96,0,25,12,6,0
0,0,81,79,278.0,0,25,13,5,0
0,0,48,54,204.0,0,5,14,5,0
0,0,0,133,471.0,0,3,18,3,0
0,0,143,131,336.0,1,2,27,5,0
0,0,119,42,356.4,2,18,25,3,0
0,0,155,42,396.0,1,28,17,3,0
0,0,27,54,548.0,2,29,17,6,0
0,0,159,54,140.0,1,9,15,5,0
0,0,219,152,230.01,0,4,36,5,0
0,0,1,152,204.0,2,2,6,6,0
0,0,4,121,169.0,1,20,39,6,0
0,0,108,57,231.09,1,30,18,6,0
0,0,18,28,269.0,1,26,34,6,0
0,0,182,42,636.65,1,22,39,5,0
0,0,5,133,67.0,0,22,21,5,0
0,0,4,42,98.0,1,20,8,6,0
0,0,108,57,99.0,1,29,17,6,0
0,0,339,42,448.0,0,11,10,4,0
0,0,22,133,174.0,0,27,13,6,0
0,0,29,74,106.4,1,28,22,6,0
0,0,18,57,476.0,0,27,49,5,0
0,0,1,79,141.75,0,29,35,5,0
0,0,0,111,220.0,0,15,28,3,0
0,0,31,11,267.0,0,9,23,5,0
0,0,19,28,76.0,0,29,40,3,0
0,0,4,49,99.0,2,13,25,6,0
0,0,50,74,352.8,2,2,40,6,0
0,0,151,42,213.0,0,19,4,5,0
0,0,3,133,125.0,0,14,16,3,0
0,0,58,83,254.0,0,30,53,6,0
0,0,40,42,220.0,1,26,52,5,0
0,0,128,57,516.6,1,5,6,6,0
0,0,1,33,160.0,0,2,10,3,0
0,0,50,54,156.0,1,14,3,5,0
0,0,21,49,38.4,2,24,48,5,0
0,0,20,133,306.0,0,11,16,6,0
0,0,29,54,640.0,2,6,23,6,0
0,0,90,33,243.6,1,5,15,6,0
0,0,12,138,195.0,0,5,32,2,0
0,0,46,147,580.0,0,15,24,3,0
0,0,13,42,219.0,0,26,18,5,0
0,0,46,133,660.0,1,2,32,3,0
0,0,34,14,417.6,1,30,36,6,0
0,0,48,42,237.6,0,19,12,6,0
0,0,41,133,430.0,1,18,39,3,0
0,0,0,133,45.0,2,5,6,5,2
0,0,34,133,543.6,1,9,28,6,0
0,0,142,42,59.0,0,25,22,5,0
0,0,196,42,386.1,0,28,36,6,0
0,0,152,24,566.01,1,13,28,6,0
0,0,269,152,350.0,1,29,53,5,0
0,0,173,42,391.5,1,5,18,6,0
0,0,0,137,124.0,0,18,34,6,0
0,0,5,133,135.0,0,20,8,2,0
0,0,90,24,375.0,0,24,30,6,0
0,0,88,54,308.92,1,15,11,6,0
0,0,24,133,138.0,0,24,52,3,0
0,0,165,33,184.0,0,2,41,5,0
0,0,5,57,198.0,1,11,16,5,0
0,0,20,89,230.0,2,19,16,6,0
0,0,35,54,503.2,1,11,6,6,0
0,0,144,74,505.65,2,1,22,3,0
0,0,208,42,228.8,0,24,21,4,0
0,0,6,49,75.0,0,18,3,4,0
0,0,130,28,371.01,1,25,13,6,0
0,0,0,133,172.0,0,4,32,3,0
0,0,37,11,316.8,2,5,41,6,0
0,0,77,57,313.2000000000001,2,25,44,6,0
0,0,20,57,127.0,2,17,12,6,0
0,0,177,133,256.5,1,14,29,3,0
0,0,0,133,88.0,0,21,8,3,0
0,0,115,57,800.52,1,29,40,6,0
0,0,87,133,408.0,0,20,12,5,0
0,0,0,133,120.0,0,16,47,3,0
0,0,0,133,88.0,0,7,6,6,0
0,0,76,49,124.0,0,16,38,4,0
0,0,14,49,97.0,1,2,22,6,0
0,0,69,133,257.01,0,25,44,4,0
0,0,87,99,167.39999999999995,1,27,53,6,0
0,0,36,57,89.1,2,1,23,6,0
0,0,124,133,360.0,1,4,15,4,0
0,0,67,57,267.29999999999995,0,7,14,5,0
0,0,113,42,595.0,2,27,49,6,0
0,0,35,54,367.2,0,5,10,6,0
0,0,78,133,32.0,0,21,47,2,0
0,0,0,49,59.0,0,16,51,3,0
0,0,43,49,346.5,0,31,23,6,0
0,0,37,133,130.0,0,25,40,3,1
0,0,2,122,252.0,0,31,14,6,0
0,0,93,42,425.0,0,22,25,4,0
0,0,48,133,116.0,3,25,8,6,0
0,0,7,30,140.0,0,19,34,6,0
0,0,111,54,382.5,0,3,32,6,0
0,0,42,54,520.2,2,25,12,6,0
0,0,0,133,132.0,0,10,2,3,0
0,0,11,133,329.01,2,16,16,6,0
0,0,172,49,448.4,1,14,15,5,0
0,0,4,49,477.0,0,10,42,2,0
0,0,101,133,98.0,0,26,18,4,0
0,0,141,33,90.0,0,20,39,5,0
0,0,4,133,56.4,1,20,43,6,0
0,0,56,64,740.0,1,25,39,5,0
0,0,1,133,202.0,0,10,50,6,0
0,0,234,42,318.6,1,5,37,6,0
0,0,58,133,567.0,2,5,15,6,0
0,0,44,133,294.0,0,2,1,4,0
0,0,236,57,162.0,0,12,20,4,0
0,0,1,133,47.0,0,4,41,6,0
0,0,8,133,252.0,0,10,20,6,0
0,0,16,49,615.0,0,2,27,3,0
0,0,37,49,306.6,2,12,46,6,0
0,0,113,133,996.0,1,16,29,6,0
0,0,68,54,675.0,0,21,16,6,0
0,0,83,79,288.9,1,25,18,6,0
0,0,65,54,36.0,0,10,28,3,0
0,0,83,54,225.0,0,18,52,5,0
0,0,5,54,91.0,0,2,10,0,0
0,0,8,33,108.0,1,8,2,6,0
0,0,46,54,155.86,0,10,10,6,0
0,0,5,49,48.0,0,8,10,6,0
0,0,0,57,570.01,0,24,39,5,0
0,0,168,133,100.0,0,11,37,4,0
0,0,73,54,442.0,1,18,7,6,0
0,0,5,54,360.0,2,24,35,6,0
0,0,154,57,270.0,2,15,16,3,0
0,0,186,74,365.4,1,9,20,6,0
0,0,215,106,225.0,1,21,48,4,0
0,0,243,74,275.5,0,6,41,5,0
0,0,15,54,259.20000000000005,0,3,5,6,0
0,0,143,133,106.03,0,13,29,6,0
0,0,70,57,178.2,1,18,33,6,0
0,0,27,14,308.0,0,26,9,3,0
0,0,5,54,95.0,0,11,15,2,0
0,0,73,79,601.2,2,4,28,6,0
0,0,9,57,475.0,0,16,16,0,0
0,0,2,101,121.0,0,28,18,3,0
0,0,4,143,224.0,1,8,14,6,0
0,0,256,152,230.01,0,14,38,5,0
0,0,33,54,152.1,1,11,33,6,0
0,0,1,133,184.5,2,16,34,6,0
0,0,189,54,195.0,0,19,21,4,0
0,0,0,133,185.0,2,28,40,3,0
0,0,195,78,785.4,2,17,34,6,0
0,0,22,133,62.0,0,17,47,2,0
0,0,0,1,382.0,0,20,34,3,0
0,0,112,33,664.0,1,28,26,6,0
0,0,145,79,283.5,0,29,35,5,0
0,0,123,14,342.0,0,31,22,6,0
0,0,226,74,120.96,0,25,12,6,0
0,0,140,133,195.0,0,18,47,4,0
0,0,38,49,152.1,1,10,33,6,0
0,0,122,74,377.4,2,11,20,6,0
0,0,7,57,188.0,0,2,9,4,0
0,0,2,121,196.0,0,5,6,6,0
0,0,49,167,260.28000000000003,1,10,10,6,0
0,0,1,49,85.0,0,8,41,5,0
0,0,183,42,170.0,0,16,16,4,0
0,0,0,133,50.0,0,18,47,2,0
0,0,0,133,110.71,0,10,19,6,0
0,0,0,133,35.0,0,8,6,2,0
0,0,171,42,511.0,0,5,10,4,0
0,0,1,54,109.0,0,18,20,5,0
0,0,64,49,312.0,0,26,30,6,0
0,0,57,24,69.0,0,8,7,6,0
0,0,158,78,190.0,0,27,13,4,0
0,0,13,54,151.0,1,6,32,6,0
0,2,9,57,70.0,0,15,21,4,0
0,0,60,54,601.8,0,26,13,6,0
0,0,1,79,206.0,0,8,11,6,0
0,0,343,167,213.3,3,9,2,6,0
0,0,215,69,150.0,0,21,48,4,0
0,0,34,49,423.0,3,11,38,6,0
0,0,12,167,400.0,1,26,39,3,0
0,0,76,121,171.0,1,25,18,6,0
0,0,15,54,140.0,1,6,27,6,0
0,0,18,133,65.0,1,10,24,3,0
0,0,14,131,140.0,2,1,18,6,0
0,0,185,57,631.4,2,27,35,5,0
0,0,91,131,367.2,3,11,10,6,0
0,0,0,54,174.0,1,15,33,3,0
0,0,6,49,113.0,0,13,7,3,0
0,0,88,54,489.6,0,5,23,6,0
0,0,20,42,89.0,0,11,38,6,0
0,0,8,133,35.0,0,8,10,2,0
0,0,5,121,285.0,0,28,9,4,0
0,0,1,167,42.65,0,19,43,6,0
0,0,193,54,489.6,1,18,33,6,0
0,0,69,79,166.0,0,22,39,5,0
0,0,1,42,198.66,1,24,35,6,0
0,0,7,49,107.03,2,31,36,6,0
0,0,223,57,270.0,0,24,22,4,0
0,0,57,54,343.4,1,30,14,6,0
0,0,2,42,81.0,2,19,43,6,0
0,0,81,44,586.4,1,6,46,6,0
0,0,32,57,272.0,1,24,43,6,0
0,0,0,54,316.2000000000001,0,20,26,5,0
0,0,63,57,231.54,0,14,47,5,0
0,0,98,98,424.8,1,2,45,6,0
0,0,125,79,526.5,3,16,16,6,0
0,0,112,49,522.0,0,29,17,3,0
0,0,209,42,500.4,1,2,22,6,0
0,0,0,30,279.0,0,25,4,6,0
0,0,292,54,140.0,0,21,43,5,0
0,0,27,79,124.8,1,20,3,6,0
0,0,12,138,195.0,0,5,32,2,0
0,0,50,74,116.43,1,15,51,6,0
0,0,25,133,144.0,1,6,11,6,0
0,0,0,133,41.0,0,16,47,2,0
0,0,137,54,531.9,2,30,23,6,0
0,0,28,54,140.0,0,21,43,5,0
0,0,1,133,119.0,1,28,44,5,0
0,0,62,57,286.4,0,7,46,6,0
0,0,27,11,264.0,1,4,1,6,0
0,0,324,138,178.2,1,16,29,6,0
0,0,13,49,156.0,2,28,22,6,0
0,0,12,133,129.5,2,16,21,6,0
0,0,11,57,167.0,1,29,53,6,0
0,0,228,57,216.66,0,6,19,6,0
0,0,16,49,31.0,2,26,9,2,0
0,0,5,42,294.0,1,28,9,6,0
0,0,15,133,80.0,0,3,5,4,0
0,0,3,57,152.0,0,16,47,5,0
0,0,286,57,311.5,0,14,42,4,0
0,0,87,54,300.0,0,18,52,5,0
0,0,122,24,719.0999999999998,3,30,23,6,0
0,0,7,74,206.36,1,19,43,6,0
0,0,5,54,285.0,1,13,16,6,0
0,0,45,133,67.0,0,28,49,2,0
0,0,332,133,308.92,2,22,39,6,0
0,0,53,79,318.6,3,6,19,6,0
0,0,14,49,296.01,1,30,44,5,0
0,0,83,14,727.5,0,1,19,3,0
0,0,7,133,134.0,1,21,39,2,0
0,0,41,133,93.45,1,16,3,6,0
0,0,3,133,88.0,0,9,10,3,0
0,0,26,133,325.0,0,14,11,3,0
0,0,10,54,340.7999999999999,0,15,38,5,0
0,0,2,11,273.55,1,6,6,6,0
0,0,21,49,109.0,0,27,35,6,0
0,0,46,49,124.0,1,17,34,4,0
0,0,0,79,79.0,0,20,30,2,0
0,0,31,5,444.29,0,28,44,6,0
0,0,85,74,196.0,0,3,49,6,0
0,0,82,54,232.2,1,16,21,6,0
0,0,53,167,126.9,1,17,21,6,0
0,0,39,42,218.0,0,14,33,5,0
0,0,220,79,384.0,0,17,38,5,0
0,0,10,167,708.0,0,8,27,3,0
0,0,11,133,359.01,1,19,12,6,0
0,0,104,11,62.0,0,3,18,5,0
0,0,18,133,225.0,1,30,53,5,0
0,0,41,133,224.01,1,23,17,6,0
0,0,272,54,175.5,0,30,40,5,0
0,0,31,78,134.1,1,4,41,6,0
0,0,37,57,113.4,0,9,50,5,0
0,0,19,133,360.36,2,3,19,6,0
0,0,4,133,27.0,0,6,50,2,0
0,0,3,24,262.0,1,27,18,6,0
0,0,64,49,251.2,2,23,13,5,0
0,0,158,167,68.61,0,18,29,6,0
0,0,110,133,406.32,2,2,19,6,0
0,0,18,152,104.0,0,13,19,6,0
0,0,39,133,110.0,0,15,3,4,0
0,0,5,133,279.99,0,19,12,4,0
0,0,86,133,659.75,1,10,16,6,0
0,0,33,133,349.6,1,2,14,6,0
0,0,10,133,78.0,0,18,17,2,0
0,0,73,28,274.08,0,29,18,6,0
0,0,220,121,282.0,2,4,36,6,0
0,0,0,133,38.0,1,1,49,2,0
0,0,92,52,414.0,1,1,45,6,0
0,0,153,54,321.2999999999999,1,15,28,6,0
0,0,6,133,261.81,1,30,44,6,0
0,0,26,167,829.1500000000002,0,28,36,3,0
0,0,47,138,72.0,0,18,43,4,0
0,0,148,54,375.0,0,7,32,6,0
0,0,95,79,369.75,1,17,12,6,0
0,0,213,133,109.0,0,16,21,4,0
0,0,1,49,65.0,0,29,18,6,0
0,0,181,54,240.0,0,11,42,5,0
0,0,40,28,302.4,2,12,46,6,0
0,0,232,57,505.4,1,13,24,5,0
0,0,50,54,180.0,0,13,46,5,0
0,0,225,57,198.0,0,26,22,4,0
0,0,4,133,240.0,0,25,35,4,0
0,0,30,49,116.0,1,13,2,6,0
0,0,118,122,62.0,0,22,21,5,0
0,0,3,54,222.0,4,18,47,6,0
0,0,43,57,144.0,1,27,4,6,0
0,0,117,46,152.0,0,29,10,5,0
0,0,188,57,173.5,1,7,28,6,0
0,0,13,57,220.36,0,19,12,6,0
0,2,287,57,483.0,0,5,37,4,0
0,0,12,133,119.0,2,2,36,6,0
0,0,115,42,534.5999999999998,0,6,18,5,0
0,0,85,54,67.5,0,19,12,3,0
0,0,8,54,130.0,0,15,7,4,0
0,0,106,54,896.0,2,21,52,6,0
0,0,8,167,161.7,2,8,37,6,0
0,0,55,83,54.05,1,29,5,6,0
0,0,135,133,369.12,2,15,29,6,0
0,0,210,42,468.0,2,1,18,6,0
0,0,0,49,35.11,1,12,2,6,0
0,0,252,121,95.4,2,16,38,6,0
0,0,208,42,228.8,0,24,21,4,0
0,0,21,89,84.0,1,29,17,6,0
0,0,229,57,211.32,2,27,44,6,0
0,0,214,54,365.4,2,11,16,6,0
0,0,38,54,270.0,0,30,44,5,0
0,0,192,14,234.0,0,30,18,6,0
0,0,3,79,180.0,2,12,11,6,0
0,0,188,57,214.2,2,11,28,6,0
0,0,4,57,150.0,1,13,47,2,0
0,0,6,49,285.0,0,2,18,2,0
0,0,0,133,176.0,1,3,36,6,0
0,0,124,28,306.0,0,25,26,6,0
0,0,0,133,43.0,1,2,49,3,0
0,0,78,133,336.0,0,31,53,5,0
0,0,126,133,165.0,0,24,13,5,0
0,0,68,54,130.0,0,29,40,5,0
0,0,156,57,225.0,1,28,30,6,0
0,0,17,79,680.0,0,26,39,4,0
0,0,0,133,190.0,0,16,38,3,0
0,0,29,54,304.0,2,5,41,6,0
0,0,253,74,572.6700000000002,2,9,23,6,0
0,0,0,133,38.4,0,7,50,5,0
0,0,98,133,966.0,0,8,32,5,0
0,0,63,54,581.04,0,7,46,6,0
0,0,47,49,186.0,0,5,49,4,0
0,0,330,122,329.4,3,11,19,6,0
0,0,0,133,39.0,0,21,4,6,0
0,0,152,74,481.5,2,26,31,5,0
0,0,21,49,38.4,2,24,48,5,0
